hit_ID,x,y,z,layer_ID,particle_ID,particle_energy
5906,0.1146003449104269,-0.0015919166896821446,4.1560125,Plane 2,1812,6440.596838775452
5911,0.10378657329936616,-0.00057451820036387,4.1560125,Plane 2,1817,7213.577604652838
5914,0.12550158561553396,-0.0009407901919035158,4.1560125,Plane 2,1820,5908.859196010084
5934,0.1288794946154858,0.0008046476661003601,4.1560125,Plane 2,1840,5820.155689606601
5936,0.10790929913969291,0.0014062872504840898,4.1560125,Plane 2,1842,6929.758871734791
5939,0.12063137287875955,0.0013763621980252758,4.1560125,Plane 2,1845,6136.6637279296265
5941,0.11496422211659764,5.108888871188182e-05,4.1560125,Plane 2,1847,6499.468600655731
5942,0.09509169853607391,0.0006337159232218596,4.1560125,Plane 2,1848,7735.34537259492
5946,0.12981854425776854,-0.0012514887893535817,4.1560125,Plane 2,1852,5748.429954209196
5948,0.11583099624890797,0.0004738742743010655,4.1560125,Plane 2,1854,6340.35714412104
5952,0.12029034939435058,-0.000902330192279142,4.1560125,Plane 2,1858,6143.704302415365
5954,0.11714762832266318,-0.00016776882849074538,4.1560125,Plane 2,1860,6384.326233472709
5960,0.12414145642836416,0.001528557049359795,4.1560125,Plane 2,1866,6005.455976043172
5962,0.10029428422868406,0.0006903978828591146,4.1560125,Plane 2,1868,7405.306925837467
5964,0.0997057140489354,0.0005734839025876759,4.1560125,Plane 2,1870,7531.540969616977
5965,0.11350911442372028,0.0009058580465486139,4.1560125,Plane 2,1871,6530.804381641931
5966,0.11809680494304782,-0.001304535289219705,4.1560125,Plane 2,1872,6278.926419286209
5977,0.10241714862120557,0.0007550728963561648,4.1560125,Plane 2,1883,7251.162923128238
5979,0.11100442764663343,-0.0011193886477872514,4.1560125,Plane 2,1885,6651.224128193026
5983,0.11198057324881722,-0.0009954615068834287,4.1560125,Plane 2,1889,6566.670456132494
5984,0.10254519692499649,-0.00030097933947153204,4.1560125,Plane 2,1890,7141.011435619074
5985,0.09752084044680069,0.00020287332415691914,4.1560125,Plane 2,1891,7639.321775662932
5987,0.1119712408659656,-0.0012258852859048605,4.1560125,Plane 2,1893,6602.786132771427
5991,0.11606395464173885,0.00014067563856712,4.1560125,Plane 2,1897,6348.786569998818
5993,0.11158689534884271,0.0005000933913273182,4.1560125,Plane 2,1899,6580.619688934394
5994,0.11648126007679918,0.0006858405464625761,4.1560125,Plane 2,1900,6367.9709807941335
6001,0.12462707612916002,3.057789266499511e-05,4.1560125,Plane 2,1907,5913.141710554921
6007,0.11230778410318913,0.0006606831911672923,4.1560125,Plane 2,1913,6570.803625050847
6008,0.11901019202347016,-0.00031754175078138006,4.1560125,Plane 2,1914,6168.651230619729
6010,0.12513613462905324,-0.00029853298004838767,4.1560125,Plane 2,1916,5879.36621145734
6014,0.08416865364591354,0.001059819930282804,4.1560125,Plane 2,1920,8740.850713086327
6015,0.12078784370577107,0.0012844816441778886,4.1560125,Plane 2,1921,6158.99359683612
6029,0.0901998367444543,0.0006155693440775562,4.1560125,Plane 2,1935,8232.854113291707
6030,0.12491472384961172,-0.00039761599703768715,4.1560125,Plane 2,1936,5878.990431544544
6031,0.11623177986185071,0.00035728774749097143,4.1560125,Plane 2,1937,6336.839692138331
6035,0.10171640198642404,0.001137578402219363,4.1560125,Plane 2,1941,7243.437727427553
6036,0.09921475867183717,-0.0013771219411788556,4.1560125,Plane 2,1942,7465.305070043002
6038,0.12023057729838747,-0.0006598172963349591,4.1560125,Plane 2,1944,6243.61942333733
6045,0.11790922079954813,-0.0010074424195723206,4.1560125,Plane 2,1951,6247.605649452912
6046,0.12829873803660408,0.0008474556856502921,4.1560125,Plane 2,1952,5751.699743884853
6049,0.12728228571022115,-0.00011324764338853251,4.1560125,Plane 2,1955,5869.840197986071
6054,0.09098743920441581,-0.0015235208692256448,4.1560125,Plane 2,1960,8150.349409029213
6055,0.1189087300643679,-0.001121951552695489,4.1560125,Plane 2,1961,6203.905962410364
6061,0.10907601777763155,-2.961178173617527e-06,4.1560125,Plane 2,1967,6757.239229662628
6066,0.11773792665076216,0.00046822426731929,4.1560125,Plane 2,1972,6280.316017838383
6071,0.09153710118744628,-8.340898364368992e-05,4.1560125,Plane 2,1977,8077.4104991840795
6073,0.11558337640745787,0.00025882310499401564,4.1560125,Plane 2,1979,6341.336286299816
6074,0.120294260687554,0.0012043764791169027,4.1560125,Plane 2,1980,6208.64816741969
6076,0.1194802851677252,-0.0005184132778182504,4.1560125,Plane 2,1982,6274.845392042804
6078,0.12686256098652693,-0.00028524670859247345,4.1560125,Plane 2,1984,5906.023594801083
6079,0.0910513409703705,-0.0004236055325899781,4.1560125,Plane 2,1985,8065.147360296452
6080,0.1201244149205645,0.0011584199248493225,4.1560125,Plane 2,1986,6219.551562163988
6083,0.11272716586951258,-0.001570327498554756,4.1560125,Plane 2,1989,6551.510011407459
6087,0.10660493878401722,-0.000407225036376886,4.1560125,Plane 2,1993,6924.741385222463
6088,0.1284966736116155,-0.0013078976036246263,4.1560125,Plane 2,1994,5748.640471309755
